,PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,"FT
FREQ%","TOV
FREQ%","SF
FREQ%","AND ONE
FREQ%","SCORE
FREQ%",PERCENTILE
2023-24,D'Angelo Russell,LAL,24,3.3,20.8,1.04,3.4,1.4,2.8,48.5,58.1,2.5,12.7,2.5,1.3,43,36.5
2023-24,Keldon Johnson,SAS,22,3.5,22,1.04,3.6,1.4,2.8,48.4,56.5,11.7,11.7,11.7,3.9,46.8,36.8
2023-24,Buddy Hield,IND,21,3,24.2,1.25,3.8,1.4,2.8,51.7,68.1,0,7.9,0,0,47.6,73.6
2023-24,Tyrese Haliburton,IND,19,3.3,15.2,1.25,4.2,1.4,2.3,61.4,75,12.7,19,11.1,1.6,54,73.6
2022-23,Giannis Antetokounmpo,MIL,63,8,27.2,1.16,9.3,3.1,5.2,60,61.5,31.6,11,30.2,8.1,59.8,56.4
2022-23,LeBron James,LAL,55,6.8,24.7,1.22,8.3,3.1,4.9,64,66.7,20.5,13.9,19.5,6.1,59.5,68.7
2022-23,Jaylen Brown,BOS,67,5.9,23,1.25,7.4,2.9,4.6,63,66.9,14.9,9.6,14.7,3.5,60.3,75.6
2022-23,Desmond Bane,MEM,58,5.6,28.3,1.19,6.6,2.5,4.8,52,62.3,8.4,8.4,7.7,3.4,49.8,64.3
2022-23,Shai Gilgeous-Alexander,OKC,68,6,21.7,1.26,7.6,2.4,4.3,56,59.2,25.4,8,22.4,3.9,60.7,76.2
2022-23,De'Aaron Fox,SAC,73,5.5,23.4,1.2,6.5,2.4,4,60,62.9,20.1,11.1,18.8,5.5,57.5,66.8
2022-23,Ja Morant,MEM,61,5.3,20,1.14,6.1,2.3,3.8,60,63.7,16.9,15.3,14.7,4,55.2,53.2
2022-23,Donovan Mitchell,CLE,68,4.6,18,1.19,5.4,2.1,3.6,56,63.3,12.9,11.3,10.3,4.2,53.5,64.9
2022-23,Anthony Edwards,MIN,79,5.3,21.2,1.08,5.7,2,3.7,54,59.8,18.8,17.1,18.3,7,49.5,40.3
2022-23,Zach LaVine,CHI,77,4.5,19.8,1.24,5.6,2,3.3,59,64.1,19.3,10.3,19.3,4,58.3,72.7
2022-23,OG Anunoby,TOR,67,3.9,24.1,1.27,5,2,3.2,61,67.4,11.4,9.9,10.6,3,57.8,78.9
2022-23,Devin Booker,PHX,53,4.7,18.3,1.13,5.2,2,3.8,52,58.8,12.6,10.1,10.5,3.6,51.4,51.1
2022-23,Kyrie Irving,BKN,40,4.8,19.7,1.07,5.2,1.9,4,48,57.3,7.8,11.5,7.8,2.1,45.3,38.8
2022-23,Jayson Tatum,BOS,74,4.2,15.4,1.26,5.3,1.8,3.1,59,64.1,19.9,10.3,19.3,4.2,58.8,77.5
2022-23,Buddy Hield,IND,80,4,26,1.24,4.9,1.8,3.5,51,66.6,3.2,7.9,2.5,0.6,47.8,73.9
2022-23,Pascal Siakam,TOR,71,4.1,17,1.22,5,1.8,2.9,62,65.3,20.8,11.8,19.8,4.2,60.4,70.4
2022-23,Tyrese Maxey,PHI,60,3.5,19.4,1.43,5,1.8,2.9,62,70.2,18.6,5.2,17.1,7.6,62.9,92.9
2022-23,Terry Rozier,CHA,64,4.5,20.2,1.05,4.7,1.8,3.6,48,54.7,11.9,9.8,11.2,3.5,47.7,33.8
2022-23,Kyle Kuzma,WAS,64,4.2,18.7,1.08,4.5,1.8,3.2,56,61.9,9.7,15.7,9.7,2.2,49.3,39.7
2022-23,Kyrie Irving,DAL,20,3.7,16.1,1.41,5.2,1.8,3.1,57,70.6,13.5,4.1,12.2,2.7,58.1,91
2022-23,Klay Thompson,GSW,69,3.8,18.2,1.17,4.4,1.7,3.4,49,61.8,3.1,6.9,2.7,0.4,46.7,60.1
2022-23,Keldon Johnson,SAS,63,3.9,17.9,1.13,4.4,1.7,3.2,53,59.8,15,8.5,14.2,6.5,51.2,51.8
2022-23,Tyrese Haliburton,IND,56,3.4,17.9,1.33,4.5,1.7,2.7,63,75.5,8.5,15.9,7.9,4.2,54.5,85
2022-23,Zion Williamson,NOP,29,3.1,13.5,1.32,4.1,1.7,2.4,69,69,18.7,8.8,16.5,5.5,67,82.5
2022-23,Jordan Poole,GSW,82,4.1,20,1.12,4.6,1.6,3,53,59.8,16.2,14.4,13.8,2.6,52.1,49
2022-23,Trey Murphy III,NOP,79,3.2,27.2,1.41,4.5,1.6,2.7,60,71,11.2,5.6,10.4,3.2,59.8,91.4
2022-23,Gary Trent Jr.,TOR,66,3.8,23.6,1.19,4.5,1.6,3.3,48,57.6,11.9,3.2,10.7,1.2,51.8,63
2022-23,Lauri Markkanen,UTA,66,3.5,16.3,1.26,4.5,1.6,2.7,58,64.9,16.7,10.7,15.4,3.4,56.8,76.4
2022-23,Josh Giddey,OKC,76,3.7,20.3,1.03,3.8,1.6,2.9,56,58.2,9.6,16.4,9.6,4.3,49.3,32.2
2022-23,Stephen Curry,GSW,56,3.9,15.6,1.19,4.7,1.6,3,54,66.2,9.5,14.9,9,1.8,49.3,63.9
2022-23,Kelly Oubre Jr.,CHA,48,3.7,18.6,1.12,4.2,1.6,3.2,51,55.2,13.4,6.1,11.7,5.6,51.4,48.6
2022-23,Kevin Durant,BKN,39,3.6,14.5,1.25,4.6,1.6,2.9,57,65.2,12.7,11.3,11.3,3.5,54.2,75.8
2022-23,Trae Young,ATL,73,5,18.7,0.97,4.9,1.5,3.4,45,50.2,18.5,15.3,13.9,2.2,46,20.7
2022-23,RJ Barrett,NYK,73,4.1,19.7,1.03,4.2,1.5,3,51,55,17.8,10.4,18.2,3,50.8,31.8
2022-23,Michael Porter Jr.,DEN,63,3.3,22.4,1.35,4.5,1.5,2.7,55,71.2,12.9,8.6,12.4,3.8,54.5,86.2
2022-23,Dejounte Murray,ATL,74,3.2,15.3,1.18,3.8,1.5,2.5,60,65.7,10.5,13.9,10.1,2.5,54.2,61.3
2022-23,Jerami Grant,POR,63,3.1,16.4,1.35,4.1,1.5,2.3,63,70.3,19.2,7.3,20.2,4.7,62.7,86.4
2022-23,Bojan Bogdanovic,DET,59,3.6,18.6,1.19,4.3,1.5,2.8,53,62,14.2,10.4,11.8,1.9,53.3,64.5
2022-23,Devin Vassell,SAS,39,3.3,18.7,1.35,4.5,1.5,2.8,54,68.6,11.6,6.2,10.9,3.1,54.3,86
2022-23,Karl-Anthony Towns,MIN,29,2.9,14.6,1.43,4.1,1.5,2.3,63,72.1,17.9,9.5,17.9,8.3,60.7,92.7
2022-23,D'Angelo Russell,LAL,17,3.4,20.4,1.23,4.1,1.5,2.9,53,66.3,7,8.8,5.3,1.8,50.9,71
2022-23,Bennedict Mathurin,IND,78,4,24.2,1.19,4.7,1.4,2.7,53,59.2,25,10.9,23.7,4.2,56.4,63.3
2022-23,Paolo Banchero,ORL,72,4.1,18.8,1.07,4.4,1.4,2.7,53,55.2,27.3,13,25.9,6.8,54.6,39
2022-23,Julius Randle,NYK,77,3.5,14.6,1.06,3.8,1.4,2.7,51,56.9,14.7,13.2,14.7,5.1,48.5,36.5
2022-23,CJ McCollum,NOP,75,3.7,17.2,0.99,3.7,1.4,3.1,44,53.4,7.2,9.3,6.5,0.7,43,23
2022-23,Bruce Brown,DEN,80,2.5,22.1,1.33,3.4,1.4,2.1,66,70.7,10.8,9.3,9.3,2.9,62.7,85
2022-23,KJ Martin,HOU,82,2.7,24.6,1.21,3.3,1.4,2.1,65,65.4,16.6,7.6,16.1,2.2,61.9,67.4
2022-23,Jrue Holiday,MIL,67,3.1,16.2,1.22,3.8,1.4,2.4,59,71.3,7.7,17.7,6.2,1.9,50.7,70.1
2022-23,Tobias Harris,PHI,74,2.5,18.8,1.35,3.4,1.4,2.1,65,71.8,9.1,8.6,8.6,2.7,60.8,87.3
2022-23,Mikal Bridges,PHX,56,3.4,21,1.2,4.1,1.4,2.8,52,60.6,13.1,7.9,13.6,2.6,52.9,65.6
2021-22,LeBron James,LAL,56,6.3,22.7,1.18,7.4,2.9,4.6,63.8,67.3,16.2,16.5,15.1,6,56.1,60.5
2021-22,Giannis Antetokounmpo,MIL,67,7.4,27.6,1.14,8.5,2.7,4.6,58.4,61.8,30.7,13.6,28.3,6.8,57.5,52.5
2021-22,Ja Morant,MEM,57,5.3,19.2,1.21,6.4,2.4,3.8,63.1,66.6,19.7,12.3,16.7,3.3,60,67.5
2021-22,Devin Booker,PHX,68,5.2,20.3,1.21,6.3,2.2,4.1,52.5,61.5,14.8,8.5,12.5,3.4,53.4,67.3
2021-22,CJ McCollum,NOP,26,4.2,18.5,1.33,5.6,2.1,3.7,57.9,67.4,15.5,4.5,13.6,6.4,58.2,84
2021-22,Jaylen Brown,BOS,66,4.8,20.6,1.05,5,2,3.6,54.4,56.5,15,13.4,13.7,4.5,51,35.1
2021-22,Josh Hart,NOP,41,4.8,36.3,1.17,5.6,2,3.1,62,64.3,24.5,13.3,23.5,3.6,58.2,58.1
2021-22,RJ Barrett,NYK,70,4.6,20.9,1.11,5.1,1.8,3.4,53.3,57.3,20,8.1,19.4,3.8,54.1,47.5
2021-22,Anthony Edwards,MIN,72,3.9,18.1,1.24,4.8,1.8,3.1,59,66.4,13.2,10,12.5,2.9,56.4,73.3
2021-22,Zach LaVine,CHI,67,3.8,16.8,1.28,4.8,1.8,2.7,66.8,70.4,17.4,14.2,16.6,4.7,61.3,78
2021-22,De'Aaron Fox,SAC,59,4.1,17.3,1.17,4.8,1.8,3,60.2,61.6,22.1,11.9,18,6.1,58.6,57.7
2021-22,Pascal Siakam,TOR,68,4.2,18.2,1.11,4.6,1.7,2.9,58.2,60.6,19.8,15.2,18,3.5,55.1,48.7
2021-22,Collin Sexton,CLE,11,3.3,18.4,1.25,4.1,1.7,2.6,65.5,69,13.9,11.1,13.9,5.6,61.1,75.1
2021-22,Desmond Bane,MEM,76,3.8,23.1,1.18,4.5,1.6,3.2,48.8,60,10.3,8.2,9.6,2.7,48.6,60.3
2021-22,Jayson Tatum,BOS,76,3.5,13.6,1.25,4.4,1.6,2.7,60.1,64.3,16.8,10.4,15.3,3,59,74.1
2021-22,Mikal Bridges,PHX,82,2.9,24.1,1.37,4,1.6,2.4,65,70.8,13.4,6.7,13.4,3.8,63.6,89.2
2021-22,Will Barton,DEN,71,3.8,24.8,1.18,4.4,1.6,2.9,53.4,64.2,12.3,11.6,11.9,1.9,51.5,58.7
2021-22,Kevin Durant,BKN,55,3.7,13.8,1.19,4.4,1.6,2.6,60.7,67.2,14.8,15.8,14.3,3.4,54.7,62.9
2021-22,Kyrie Irving,BKN,29,3.8,14.9,1.21,4.6,1.6,3.1,50.6,62.9,11.9,11,10.1,4.6,48.6,66.7
2021-22,Buddy Hield,IND,26,3.5,18.8,1.17,4,1.6,3,51.9,64.6,2.2,10,1.1,0,47.8,57.2
2021-22,LaMelo Ball,CHA,75,4,18.8,1.12,4.5,1.5,3,50.9,63.1,11.3,16.3,9,3,46.7,50.3
2021-22,Terry Rozier,CHA,73,3.8,21.1,1.07,4.1,1.5,3.4,45.2,54.2,7.5,6.5,6.8,2.9,44.8,40.9
2021-22,Malik Monk,LAL,76,3.2,24.1,1.24,3.9,1.5,2.6,57.4,67.4,9.2,11.3,7.9,1.7,54.2,73.5
2021-22,Stephen Curry,GSW,64,3.9,16.5,1.08,4.3,1.5,3.1,46.5,58.3,9.1,13.9,6,2.4,43.7,42.7
2021-22,Dejounte Murray,SAS,68,3,13.4,1.22,3.7,1.5,2.4,62.2,66.5,10.3,10.8,7.8,1.5,58.8,69.9
2021-22,OG Anunoby,TOR,48,2.7,15.4,1.37,3.6,1.5,2.3,65.7,72.2,10.9,7,10.2,2.3,64.1,89
2021-22,Dillon Brooks,MEM,33,3.9,20.6,1.02,4,1.5,3.1,47.6,52.9,10.9,10.2,10.2,1.6,46.9,31.3
2021-22,Josh Hart,POR,13,3.5,19.1,1.24,4.3,1.5,2.3,63.3,66.7,26.7,13.3,26.7,6.7,60,73.7
2021-22,Georgios Kalaitzakis,OKC,4,3.8,18.8,1.13,4.3,1.5,2.5,60,60,26.7,13.3,26.7,6.7,53.3,50.9
2021-22,Miles Bridges,CHA,80,3.1,16.7,1.19,3.7,1.4,2.3,58.9,63.8,15.5,12.4,13.5,2,56.6,61.9
2021-22,Tyrese Maxey,PHI,75,2.9,18.4,1.35,3.9,1.4,2.3,62,68.7,18,8.3,17.1,5.1,60.8,85.8
2021-22,Keldon Johnson,SAS,75,3.1,19.6,1.2,3.8,1.4,2.5,55.9,63.3,15.3,9.3,14.4,4.2,54.7,63.3
2021-22,Scottie Barnes,TOR,74,3.3,20.9,1.07,3.5,1.4,2.6,56.1,59.8,10.7,14.8,9.9,3.3,50.6,40.1
2021-22,Jimmy Butler,MIA,58,3,15.3,1.35,4.1,1.4,2.2,64.8,67.2,22.9,8,21.1,2.3,66.3,86.2
2021-22,Jalen Green,HOU,67,3.4,19,1.05,3.5,1.4,2.7,50.3,54.1,13.3,8.9,12,2.7,51.1,36.3
2021-22,Gordon Hayward,CHA,49,3.2,20.7,1.15,3.7,1.4,2.5,54,60.9,13.4,10.8,13.4,3.2,52.9,53.9
2021-22,Anthony Davis,LAL,40,2.5,11.4,1.25,3.1,1.4,1.9,72,72.7,14,12,13,2,64,75.1
2021-22,Domantas Sabonis,SAC,15,2.4,12.7,1.39,3.3,1.4,1.8,77.8,79.6,16.7,13.9,13.9,5.6,66.7,90.8
2021-22,Michael Porter Jr.,DEN,9,3.3,25.4,1.03,3.4,1.4,2.9,50,55.8,6.7,13.3,6.7,6.7,43.3,32.9
2021-22,Trae Young,ATL,76,3.7,13.5,1.08,4,1.3,2.6,49.7,56.8,15.7,15,10.7,2.1,48.9,42.1
2021-22,Jordan Poole,GSW,76,3.1,17.6,1.2,3.8,1.3,2.4,54.4,62.1,14.3,12.2,10.9,2.9,52.9,63.9
2021-22,Russell Westbrook,LAL,78,4.1,18.7,0.85,3.5,1.3,2.7,48.8,50.5,16.3,20.1,14.1,2.8,44.2,10.4
2021-22,Kelly Oubre Jr.,CHA,76,3.1,21.8,1.15,3.6,1.3,2.6,51.5,60.6,12.8,6.4,11.9,1.7,51.5,54.9
2021-22,Bojan Bogdanovic,UTA,69,3.6,21.5,1.09,3.9,1.3,2.8,47.7,58.7,10.9,13.3,8.1,2.8,45.6,44.1
2021-22,Gary Trent Jr.,TOR,70,3.4,19.1,1.1,3.7,1.3,2.7,47.1,56.3,12.3,9.3,10.2,1.7,47.9,46.3
2021-22,De'Anthony Melton,MEM,73,3.4,28.9,1.02,3.5,1.3,2.6,49.5,57.8,9.6,14.9,8,1.6,45.4,31.5
2021-22,Donovan Mitchell,UTA,67,3.7,14.5,1,3.7,1.3,2.7,49.7,56.4,12.6,17.9,9.3,3.3,44.7,24.6
2021-22,Tyler Herro,MIA,66,3.3,15.8,1.06,3.5,1.3,2.7,49.2,59.2,6.4,12.7,5,0.5,45.9,38.9
2021-22,Brandon Ingram,NOP,55,3.4,14.7,1.2,4.1,1.3,2.4,55.6,63.2,19.9,13.4,18.3,5.4,54.3,65.7
2021-22,Jrue Holiday,MIL,67,3,16.6,1.06,3.2,1.3,2.4,52.8,62.6,6.4,16.3,5,1.5,45.5,39.1
2020-21,Giannis Antetokounmpo,MIL,62,6.6,26.4,1.23,8.2,2.8,4.4,63.6,67.3,29,12.2,28,8.5,61.1,74.8
2020-21,Jaylen Brown,BOS,58,5.3,22.4,1.14,6.1,2.3,4,57.3,63.2,14.9,13,13,3.9,53.6,55.1
2020-21,Russell Westbrook,WAS,65,6,22.5,0.94,5.6,2.1,3.9,52.9,53.7,19.3,19.3,16.7,4.1,48.1,20.1
2020-21,LeBron James,LAL,45,4.7,19.6,1.19,5.6,2.1,3,67.9,72.3,22.1,20.2,21.6,6.6,58.7,64.7
2020-21,Terry Rozier,CHA,69,4.3,22,1.2,5.1,2,3.6,54.2,64.1,8.8,9.2,8.2,3.7,50.3,67.9
2020-21,De'Aaron Fox,SAC,58,4.8,19,1.18,5.6,2,3.5,56.4,61,20.6,10.1,18.8,4.3,56.7,62.2
2020-21,T.J. Warren,IND,4,3,21.1,1.42,4.3,2,2.5,80,80,8.3,8.3,8.3,0,75,93
2020-21,Norman Powell,TOR,42,4.3,25.4,1.21,5.2,1.9,3.5,53.1,61.9,12.2,8.9,12.2,3.3,52.2,69.8
2020-21,Devin Booker,PHX,67,4.5,18.2,1.14,5.1,1.8,3.5,50,55.9,16.3,9,15,4.3,51.3,53.5
2020-21,Bradley Beal,WAS,60,4.1,14.2,1.17,4.8,1.8,3.3,53.8,60.3,13.3,10.9,12.9,4.4,51.6,59.6
2020-21,Michael Porter Jr.,DEN,61,3.4,21.8,1.37,4.7,1.8,2.9,60.1,70.5,10.6,6.3,10.1,2.9,59.4,90.7
2020-21,Caris LeVert,IND,35,4.3,20.2,1.14,4.9,1.8,3.4,52.5,58.3,13.2,9.9,11.8,2,52.6,53.7
2020-21,Malik Beasley,MIN,37,3.6,19.2,1.26,4.5,1.8,3.1,57.4,66.5,7.6,6.8,6.8,1.5,56.1,79.9
2020-21,Stephen Curry,GSW,63,4.1,14.9,1.22,5,1.7,3.2,53.4,66.2,9.7,12.8,8.2,2.3,49.8,71.2
2020-21,Mikal Bridges,PHX,72,3,27.4,1.39,4.1,1.7,2.5,66.7,75.3,8.9,9.8,8.9,2.8,61.7,92
2020-21,Zion Williamson,NOP,61,3.7,15.8,1.24,4.6,1.7,2.5,68.4,68.4,24,12,23.1,4.9,64,76.3
2020-21,Tobias Harris,PHI,62,3.2,18,1.27,4.1,1.7,2.7,61.3,67.9,9,9.5,9,2,57.7,80.8
2020-21,Kevin Durant,BKN,35,3.8,16.2,1.26,4.8,1.7,2.7,60.4,67.7,18,15,15.8,5.3,55.6,78.6
2020-21,Victor Oladipo,HOU,20,4.3,18.2,1.13,4.8,1.7,3,55.7,62.3,12.9,16.5,10.6,1.2,51.8,51
2020-21,Dillon Brooks,MEM,67,3.9,21,1.18,4.6,1.6,3.2,50.2,58.2,15.1,5.4,13.9,2.7,52.9,62.4
2020-21,Collin Sexton,CLE,60,3.5,14.7,1.2,4.2,1.6,2.7,58.8,60.6,17.5,9.5,16.1,3.3,58.8,68.7
2020-21,Ben Simmons,PHI,58,4.3,28.3,1,4.3,1.6,2.6,61.6,61.9,22.8,21.2,20.8,4.4,51.2,27
2020-21,Kyrie Irving,BKN,54,4.2,17.3,1.04,4.4,1.6,3.4,47.5,54.9,8.8,11,7.9,0.9,46.3,33.8
2020-21,Malcolm Brogdon,IND,56,3.5,16.9,1.19,4.2,1.6,3.1,53.2,61.7,8.6,6.6,8.1,2,52.8,65.5
2020-21,Rui Hachimura,WAS,57,3.1,22.4,1.32,4.1,1.6,2.5,64.8,68.3,14.8,7.4,14.8,2.8,63.6,86.5
2020-21,Jayson Tatum,BOS,64,3.1,12.1,1.39,4.3,1.5,2.3,63.3,72.1,18.8,10.2,14.7,3.6,62.4,91.8
2020-21,Donovan Mitchell,UTA,53,4.6,17.7,0.97,4.5,1.5,3.4,45.3,50.6,16,14.4,14.4,4.1,44.9,24.5
2020-21,Pascal Siakam,TOR,56,4.1,18.9,1,4.1,1.5,3,49.4,52.4,17.7,14.3,16,5.2,48.1,27
2020-21,Jrue Holiday,MIL,59,3.2,18.5,1.11,3.5,1.5,2.6,55.5,61.9,6.4,13.4,4.8,2.7,49.2,46.4
2020-21,Gordon Hayward,CHA,44,3.6,19,1.2,4.3,1.5,2.7,55.9,64.8,13.4,13.4,12.7,1.9,53.5,66.6
2020-21,Norman Powell,POR,27,3.3,20.1,1.16,3.8,1.5,2.8,52.6,57.9,10.1,5.6,9,1.1,53.9,57.9
2020-21,Caris LeVert,BKN,12,3.7,18.4,1,3.7,1.5,2.8,52.9,60.3,4.5,18.2,4.5,0,45.5,27
2020-21,Jordan Clarkson,UTA,68,3.2,17.7,1.12,3.6,1.4,3,45.8,57.2,4.6,6.4,4.6,2.7,43.8,48.6
2020-21,Ja Morant,MEM,63,3.5,16.6,1.09,3.8,1.4,2.5,57.3,58.9,19,12.7,16.3,2.7,56.1,41
2020-21,Zach LaVine,CHI,58,3.3,13.3,1.24,4.1,1.4,2.4,61.3,66.1,19.8,12.5,16.7,3.6,59.4,75.9
2020-21,Fred VanVleet,TOR,52,3.8,18.9,1.1,4.2,1.4,3.1,45.1,54.3,12.1,7.1,9.6,1,48,43.8
2020-21,Kyle Lowry,TOR,46,3.8,22.2,1.11,4.2,1.4,2.8,51.6,61.3,13.1,16,12,2.3,48.6,47.1
2020-21,OG Anunoby,TOR,43,3,20.1,1.25,3.7,1.4,2.4,56.7,63.9,16.3,6.2,16.3,3.1,58.9,77
2020-21,Christian Wood,HOU,41,2.9,14.5,1.19,3.4,1.4,2.3,60.2,65.1,17.9,8.5,17.1,6,57.3,64.9
